Sample ID,Side/ Trap #,Watershed,Date,Dipteran_Large,Terrestrial_Large,Caddisfly_Large,Mayfly_Large,Stonefly_Large,Other_Large,Dipteran_Small,Terrestrial_Small,Caddisfly_Small,Other_Small,,month,day, year
,3,4,6/4/2018,,4,,,,5,23,12,,8,,6,4,2018
,4,4,6/4/2018,1,1,,,,2,31,19,,11,,6,4,2018
,5,4,6/4/2018,3,3,,,,2,26,16,,10,,6,4,2018
,6,4,6/4/2018,4,5,,,,2,21,21,,6,,6,4,2018
,7,4,6/4/2018,,,,,,3,35,3,,7,,6,4,2018
,8,4,6/4/2018,4,1,,,,1,58,5,,9,,6,4,2018
,9,4,6/4/2018,1,1,,,,2,37,9,,2,,6,4,2018
,10,4,6/4/2018,1,4,,,,1,33,11,,15,,6,4,2018
,1,4,6/11/2018,,2,,,,2,20,5,,3,,6,11,2018
,2,4,6/11/2018,,,,,,1,31,2,,4,,6,11,2018
,3,4,6/11/2018,1,,,,,1,27,5,,3,,6,11,2018
,4,4,6/11/2018,1,1,,,,2,23,,,8,,6,11,2018
,5,4,6/11/2018,1,2,,,,3,25,1,,11,,6,11,2018
,6,4,6/11/2018,2,,,,,5,25,3,,14,,6,11,2018
,7,4,6/11/2018,5,9,1,,,3,27,7,,19,,6,11,2018
,8,4,6/11/2018,,4,,,,11,20,8,,13,,6,11,2018
,9,4,6/11/2018,2,2,1,,,,28,2,,4,,6,11,2018
,10,4,6/11/2018,3,,,,,,22,4,,2,,6,11,2018
,1,4,6/18/2018,1,,,,,5,28,4,,20,,6,18,2018
,2,4,6/18/2018,2,2,,,,3,18,6,,9,,6,18,2018
,3,4,6/18/2018,1,3,1,,,5,30,4,,14,,6,18,2018
,4,4,6/18/2018,,,,1,,4,28,4,,19,,6,18,2018
,5,4,6/18/2018,1,5,1,,,7,41,18,,20,,6,18,2018
,6,4,6/18/2018,2,8,,,,3,35,5,,13,,6,18,2018
,7,4,6/18/2018,1,1,1,,,4,26,8,,13,,6,18,2018
,8,4,6/18/2018,1,10,,1,1,5,16,8,,14,,6,18,2018
,9,4,6/18/2018,,1,,,,8,24,1,,7,,6,18,2018
,10,4,6/18/2018,3,1,3,,,5,46,8,,21,,6,18,2018
,1,4,6/25/2018,,4,,,,2,30,6,,15,,6,25,2018
,2,4,6/25/2018,,3,,,,4,27,5,,14,,6,25,2018
,3,4,6/25/2018,1,,1,,,2,16,2,,36,,6,25,2018
,4,4,6/25/2018,,2,,,,4,25,1,,18,,6,25,2018
,5,4,6/25/2018,,2,2,,,3,32,3,,12,,6,25,2018
,6,4,6/25/2018,2,,,,,1,31,3,,11,,6,25,2018
,7,4,6/25/2018,,1,,,,,27,14,,23,,6,25,2018
,8,4,6/25/2018,4,3,,,,,40,9,,16,,6,25,2018
,9,4,6/25/2018,,1,2,,1,2,21,2,,12,,6,25,2018
,10,4,6/25/2018,,6,,,1,2,19,1,,30,,6,25,2018
,1,4,9/4/2018,1,1,,,1,,10,,,1,,9,4,2018
,2,4,9/4/2018,,,,,,2,7,1,,4,,9,4,2018
,3,4,9/4/2018,,,,,,,14,1,,2,,9,4,2018
,4,4,9/4/2018,,,,,,,10,1,,2,,9,4,2018
,5,4,9/4/2018,,,,,,,16,4,,3,,9,4,2018
,6,4,9/4/2018,,1,,,,2,13,2,,4,,9,4,2018
,7,4,9/4/2018,,,,,,,20,2,1,4,,9,4,2018
,8,4,9/4/2018,,1,,,,,7,1,,7,,9,4,2018
,9,4,9/4/2018,,,,,,,14,2,,1,,9,4,2018
,10,4,9/4/2018,,,,,,1,13,,,2,,9,4,2018
,1,4,9/10/2018,,1,,,,,15,1,,3,,9,10,2018
,2,4,9/10/2018,,,1,,,,10,1,,1,,9,10,2018
,3,4,9/10/2018,,,,,1,,6,2,,5,,9,10,2018
,4,4,9/10/2018,,,,,1,,5,,,,,9,10,2018
,5,4,9/10/2018,1,,,,,1,11,,,4,,9,10,2018
,6,4,9/10/2018,,,,,,,6,2,,2,,9,10,2018
,7,4,9/10/2018,,,,,,,11,,,4,,9,10,2018
,8,4,9/10/2018,1,,,,,,9,1,,1,,9,10,2018
,9,4,9/10/2018,,1,,,,,7,3,,1,,9,10,2018
,10,4,9/10/2018,,1,,,,,12,1,,2,,9,10,2018
,1,4,9/17/2018,,,,,,,7,1,,5,,9,17,2018
,2,4,9/17/2018,,,,,,,5,,,,,9,17,2018
,3,4,9/17/2018,,,,,,,7,,,3,,9,17,2018
,4,4,9/17/2018,,,,,,,3,3,,4,,9,17,2018
,5,4,9/17/2018,,,,,,,5,2,,4,,9,17,2018
,6,4,9/17/2018,,,,,,,9,2,,2,,9,17,2018
,7,4,9/17/2018,,,1,,,,5,1,,,,9,17,2018
,8,4,9/17/2018,,,,,,,5,,,3,,9,17,2018
,9,4,9/17/2018,1,,,,,,9,3,,3,,9,17,2018
,10,4,9/17/2018,,,,,,,4,,,3,,9,17,2018
,1,4,9/24/2018,,,,,1,,11,,,4,,9,24,2018
,2,4,9/24/2018,,1,,,,,2,,,2,,9,24,2018
,3,4,9/24/2018,,,,,,,11,1,,1,,9,24,2018
,4,4,9/24/2018,,,,,,,9,,,3,,9,24,2018
,5,4,9/24/2018,1,,,,,,6,,,2,,9,24,2018
,6,4,9/24/2018,,,,,,,13,,,6,,9,24,2018
,7,4,9/24/2018,1,,,,,,8,,,1,,9,24,2018
,8,4,9/24/2018,,,,,,,7,,,1,,9,24,2018
,9,4,9/24/2018,1,,,,,,1,,,,,9,24,2018
,10,4,9/24/2018,,,,,,,10,1,,1,,9,24,2018
,1,4,8/6/2018,1,,,,1,,14,2,,5,,8,6,2018
,2,4,8/6/2018,,,,,,,8,1,,3,,8,6,2018
,3,4,8/6/2018,,1,1,,,,4,2,,13,,8,6,2018
,4,4,8/6/2018,,1,,,,1,9,3,,3,,8,6,2018
,5,4,8/6/2018,2,,1,,2,1,9,,,1,,8,6,2018
,6,4,8/6/2018,1,,,,,2,13,,,5,,8,6,2018
,7,4,8/6/2018,,,1,,1,1,9,1,,4,,8,6,2018
,8,4,8/6/2018,,1,,,,6,13,,,5,,8,6,2018
,9,4,8/6/2018,,,,,,2,9,,,3,,8,6,2018
,10,4,8/6/2018,,,,,,1,11,3,,3,,8,6,2018
,1,4,8/13/2018,1,,,,,1,13,3,,,,8,13,2018
,2,4,8/13/2018,,,,,,1,11,1,,,,8,13,2018
,3,4,8/13/2018,,1,,,,,15,2,,2,,8,13,2018
,4,4,8/13/2018,,1,,,,,17,2,,2,,8,13,2018
,5,4,8/13/2018,,,1,,1,,9,2,,3,,8,13,2018
,6,4,8/13/2018,1,1,,,,,13,,,2,,8,13,2018
,7,4,8/13/2018,,,,,,1,14,1,,2,,8,13,2018
,8,4,8/13/2018,,,,,1,,10,5,,4,,8,13,2018
,9,4,8/13/2018,2,,,,,,21,3,,,,8,13,2018
,10,4,8/13/2018,,,,,,1,7,,,3,,8,13,2018
,1,4,8/20/2018,,,1,,,,29,,,7,,8,20,2018
,2,4,8/20/2018,,,,,,,11,2,,2,,8,20,2018
,3,4,8/20/2018,,,,,,,9,3,,3,,8,20,2018
,4,4,8/20/2018,,,,,1,,12,1,,2,,8,20,2018
,5,4,8/20/2018,,,,,1,,13,,,3,,8,20,2018
,6,4,8/20/2018,,,,,1,,12,3,,2,,8,20,2018
,7,4,8/20/2018,,,,,1,1,14,1,,2,,8,20,2018
,8,4,8/20/2018,2,,,,,,9,1,,1,,8,20,2018
,9,4,8/20/2018,,,,,,,11,4,,,,8,20,2018
,10,4,8/20/2018,1,,,,1,,20,1,,1,,8,20,2018
,1,4,8/27/2018,,,1,,,,18,,,1,,8,27,2018
,2,4,8/27/2018,,,,,,1,4,1,,5,,8,27,2018
,3,4,8/27/2018,2,,,,,1,9,1,,1,,8,27,2018
,4,4,8/27/2018,,,,,,,20,2,,1,,8,27,2018
,5,4,8/27/2018,,,,,1,,5,3,,1,,8,27,2018
,6,4,8/27/2018,,1,,,,1,6,4,,,,8,27,2018
,7,4,8/27/2018,,,,,,,15,2,,4,,8,27,2018
,8,4,8/27/2018,,,,,,,12,1,,3,,8,27,2018
,9,4,8/27/2018,1,,,,,,7,2,,2,,8,27,2018
,10,4,8/27/2018,,,,,,,9,1,,4,,8,27,2018
,1,1,9/4/2018,1,,,,1,1,6,4,,,,9,4,2018
,2,1,9/4/2018,1,,,,,,12,2,,4,,9,4,2018
,3,1,9/4/2018,,,,,,,10,4,,1,,9,4,2018
,4,1,9/4/2018,,,,,,,7,,,,,9,4,2018
,5,1,9/4/2018,,,,,,6,6,1,,2,,9,4,2018
,6,1,9/4/2018,,1,,,,,12,2,,2,,9,4,2018
,7,1,9/4/2018,,,,,,1,13,1,,7,,9,4,2018
,8,1,9/4/2018,,,,,,,3,2,,4,,9,4,2018
,9,1,9/4/2018,,,,,,,6,1,,1,,9,4,2018
,10,1,9/4/2018,,,,,,,8,2,,3,,9,4,2018
,1,1,9/10/2018,,,,,,2,3,1,,,,9,10,2018
,2,1,9/10/2018,,,,,,,3,,,,,9,10,2018
,3,1,9/10/2018,,,,,,1,7,,,1,,9,10,2018
,4,1,9/10/2018,,,,,,,1,,,2,,9,10,2018
,5,1,9/10/2018,,,,,1,,5,,,,,9,10,2018
,6,1,9/10/2018,,,,,,1,6,,,,,9,10,2018
,7,1,9/10/2018,,,,,,,4,1,,2,,9,10,2018
,8,1,9/10/2018,,,,,1,1,14,,,,,9,10,2018
,9,1,9/10/2018,,,,,,2,5,1,,,,9,10,2018
,10,1,9/10/2018,,,,,,,3,1,,,,9,10,2018
,1,1,9/17/2018,,,,,,,2,3,,1,,9,17,2018
,2,1,9/17/2018,,,,,,,8,,,2,,9,17,2018
,3,1,9/17/2018,,,,,,,4,1,,2,,9,17,2018
,4,1,9/17/2018,,,,,,,3,1,,2,,9,17,2018
,5,1,9/17/2018,,,,,,,3,,,,,9,17,2018
,6,1,9/17/2018,,,,,,,6,,,5,,9,17,2018
,7,1,9/17/2018,,,,,,,8,3,,4,,9,17,2018
,8,1,9/17/2018,,,,,,,4,,,2,,9,17,2018
,9,1,9/17/2018,,,,,,,4,2,,2,,9,17,2018
,10,1,9/17/2018,,,,,,,5,2,,3,,9,17,2018
,1,1,9/24/2018,,,1,,,,4,1,,,,9,24,2018
,2,1,9/24/2018,,,,,,,7,,,2,,9,24,2018
,3,1,9/24/2018,1,,,,,,7,1,,4,,9,24,2018
,4,1,9/24/2018,,,,,,,3,,,,,9,24,2018
,5,1,9/24/2018,,,,,,,6,,,3,,9,24,2018
,6,1,9/24/2018,,,,,,,10,,,2,,9,24,2018
,7,1,9/24/2018,,,,,,,9,,,2,,9,24,2018
,8,1,9/24/2018,,,,,,,8,1,,2,,9,24,2018
,9,1,9/24/2018,,,,,,,3,,,,,9,24,2018
,10,1,9/24/2018,,,,,,,5,,,2,,9,24,2018
,1,1,10/1/2018,,,,,,,7,2,,3,,10,1,2018
,2,1,10/1/2018,,,,,,1,11,,,5,,10,1,2018
,3,1,10/1/2018,1,,,,,,15,,,1,,10,1,2018
,4,1,10/1/2018,1,,,,,,10,1,,3,,10,1,2018
,5,1,10/1/2018,,1,,,,,10,2,,5,,10,1,2018
,6,1,10/1/2018,1,,,,,,5,4,,3,,10,1,2018
,7,1,10/1/2018,1,,,,,,5,2,,2,,10,1,2018
,8,1,10/1/2018,1,,,,,,12,,,3,,10,1,2018
,9,1,10/1/2018,,,,,,,14,1,,2,,10,1,2018
,10,1,10/1/2018,1,,,,,,13,,,1,,10,1,2018
,1,1,10/8/2018,,,,,,,8,1,,2,,10,8,2018
,2,1,10/8/2018,,,,,,,22,2,,2,,10,8,2018
,3,1,10/8/2018,,,,,,,9,,,2,,10,8,2018
,4,1,10/8/2018,,,,,,1,5,3,,2,,10,8,2018
,5,1,10/8/2018,,,,,,,5,2,,,,10,8,2018
,6,1,10/8/2018,,,,,,,6,,,7,,10,8,2018
,7,1,10/8/2018,,,,,,1,10,4,,3,,10,8,2018
,8,1,10/8/2018,,,,,,,23,,,1,,10,8,2018
,9,1,10/8/2018,3,,,,,,5,,,2,,10,8,2018
,10,1,10/8/2018,,,,,,,7,,,1,,10,8,2018
,1,1,10/15/2018,,,,,,,15,2,,5,,10,15,2018
,2,1,10/15/2018,,,,,,,3,,,,,10,15,2018
,3,1,10/15/2018,,,,,,,13,1,,4,,10,15,2018
,4,1,10/15/2018,2,,,,,,11,2,,3,,10,15,2018
,5,1,10/15/2018,1,,,,,,19,,,2,,10,15,2018
,6,1,10/15/2018,,,,,,,8,,,3,,10,15,2018
,7,1,10/15/2018,,,,,,,6,2,,3,,10,15,2018
,8,1,10/15/2018,,,,,,,14,,,,,10,15,2018
,9,1,10/15/2018,,,,,,,11,2,,,,10,15,2018
,10,1,10/15/2018,,,,,,,7,,,,,10,15,2018
,1,1,10/22/2018,1,,,,,,3,,,1,,10,22,2018
,2,1,10/22/2018,3,,,,,1,18,1,,2,,10,22,2018
,3,1,10/22/2018,1,,,,,,6,2,,1,,10,22,2018
,4,1,10/22/2018,,2,,,,,12,4,,,,10,22,2018
,5,1,10/22/2018,,,,,,,6,1,,1,,10,22,2018
,6,1,10/22/2018,1,,,,,,11,,,2,,10,22,2018
,7,1,10/22/2018,4,,,,,,12,2,,,,10,22,2018
,8,1,10/22/2018,,,,,,,14,1,,1,,10,22,2018
,9,1,10/22/2018,1,,,,,,14,3,,,,10,22,2018
,10,1,10/22/2018,,1,,,,,15,2,,2,,10,22,2018
,1,1,10/29/2018,,,,,,,1,,,1,,10,29,2018
,2,1,10/29/2018,,,,,,,2,,,,,10,29,2018
,3,1,10/29/2018,,,,,,,8,,,,,10,29,2018
,4,1,10/29/2018,1,,,,,,1,,,,,10,29,2018
,5,1,10/29/2018,,,,,,,2,,,,,10,29,2018
,6,1,10/29/2018,,,,,,,1,,,,,10,29,2018
,7,1,10/29/2018,,,,,,,3,,,,,10,29,2018
,8,1,10/29/2018,,,,,,,2,,,1,,10,29,2018
,9,1,10/29/2018,2,,,,,,4,1,,,,10,29,2018
,10,1,10/29/2018,1,,,,,,1,,,,,10,29,2018
,1,1,8/6/2018,,,,,,,8,1,,2,,8,6,2018
,2,1,8/6/2018,,,,,,1,13,1,,,,8,6,2018
,3,1,8/6/2018,,,,,,,3,,,1,,8,6,2018
,4,1,8/6/2018,,,,,,1,10,1,,8,,8,6,2018
,5,1,8/6/2018,,,,,,,3,1,,2,,8,6,2018
,6,1,8/6/2018,1,,,,,2,14,,,1,,8,6,2018
,7,1,8/6/2018,,,,,,,5,4,,4,,8,6,2018
,8,1,8/6/2018,,,,,,,12,5,,5,,8,6,2018
,9,1,8/6/2018,,,,,4,8,6,3,,6,,8,6,2018
,10,1,8/6/2018,,,,,,1,4,3,,6,,8,6,2018
,1,1,8/13/2018,,,,,1,2,5,2,,4,,8,13,2018
,2,1,8/13/2018,,,1,,1,8,9,2,,7,,8,13,2018
,3,1,8/13/2018,,,,,,,3,5,,2,,8,13,2018
,4,1,8/13/2018,,,,,,3,8,,,3,,8,13,2018
,5,1,8/13/2018,,1,,,,3,9,2,,3,,8,13,2018
,6,1,8/13/2018,,,,,,2,7,4,,2,,8,13,2018
,7,1,8/13/2018,1,,,,,2,5,,,,,8,13,2018
,8,1,8/13/2018,,,,,,5,7,2,,4,,8,13,2018
,9,1,8/13/2018,,,,,,1,9,,,5,,8,13,2018
,10,1,8/13/2018,2,,,,,1,6,,,,,8,13,2018
,1,1,8/20/2018,,,,,,,7,1,,,,8,20,2018
,2,1,8/20/2018,,1,,,,4,14,1,,7,,8,20,2018
,3,1,8/20/2018,,1,,,,,11,,,2,,8,20,2018
,4,1,8/20/2018,,,,,,2,10,,,5,,8,20,2018
,5,1,8/20/2018,,,,,,1,13,1,,2,,8,20,2018
,6,1,8/20/2018,,,,,,2,10,,,4,,8,20,2018
,7,1,8/20/2018,1,,,,,2,16,1,,7,,8,20,2018
,8,1,8/20/2018,,,,,1,1,11,,,2,,8,20,2018
,9,1,8/20/2018,,,,,,2,2,3,,1,,8,20,2018
,10,1,8/20/2018,,,,,,,9,2,,3,,8,20,2018
,1,1,8/27/2018,,,,,,,6,1,,,,8,27,2018
,2,1,8/27/2018,,,,,,3,9,,,5,,8,27,2018
,3,1,8/27/2018,,,,,1,3,7,1,,,,8,27,2018
,4,1,8/27/2018,,,,,,,1,1,,1,,8,27,2018
,5,1,8/27/2018,,,,,,1,11,1,,,,8,27,2018
,6,1,8/27/2018,1,1,,,2,3,11,2,,1,,8,27,2018
,7,1,8/27/2018,1,,,,,4,13,,,1,,8,27,2018
,8,1,8/27/2018,,1,,,,,13,,,1,,8,27,2018
,9,1,8/27/2018,,,,,,1,8,,,1,,8,27,2018
,10,1,8/27/2018,,1,,,,1,7,,,3,,8,27,2018
,1,1,11/5/2018,,,,,,,10,,,,,11,5,2018
,2,1,11/5/2018,,,,,,,7,,,,,11,5,2018
,3,1,11/5/2018,1,,,,,,10,1,,,,11,5,2018
,4,1,11/5/2018,4,,,,,,17,,,,,11,5,2018
,5,1,11/5/2018,,,,,,,10,,,,,11,5,2018
,6,1,11/5/2018,,1,,,,,9,1,,1,,11,5,2018
,7,1,11/5/2018,2,,,,,,12,1,,1,,11,5,2018
,8,1,11/5/2018,,,,,,,9,,,,,11,5,2018
,9,1,11/5/2018,1,,,,,1,27,,,,,11,5,2018
,10,1,11/5/2018,1,,,,,,14,3,,,,11,5,2018
,1,1,11/12/2018,1,,,,,,8,1,,,,11,12,2018
,2,1,11/12/2018,1,,,,,,12,1,,,,11,12,2018
,3,1,11/12/2018,21,,,,,,30,,,,,11,12,2018
,4,1,11/12/2018,1,,,,,,2,,,,,11,12,2018
,5,1,11/12/2018,2,,,,,,17,2,,,,11,12,2018
,6,1,11/12/2018,2,,,,,,12,,,,,11,12,2018
,7,1,11/12/2018,6,,,,,,8,2,,,,11,12,2018
,8,1,11/12/2018,37,,,,,,16,,,,,11,12,2018
,9,1,11/12/2018,1,,,,,,5,,,2,,11,12,2018
,10,1,11/12/2018,,,,,,,9,,,,,11,12,2018
,1,5,11/5/2018,,,,,,,6,1,,,,11,5,2018
,2,5,11/5/2018,,,,,,,4,,,,,11,5,2018
,3,5,11/5/2018,2,,,,,,13,1,,,,11,5,2018
,4,5,11/5/2018,1,,,,,,10,,,,,11,5,2018
,5,5,11/5/2018,1,1,,,,,15,1,,1,,11,5,2018
,6,5,11/5/2018,3,,,,,,6,,,,,11,5,2018
,7,5,11/5/2018,,,,,,,6,,,,,11,5,2018
,8,5,11/5/2018,,,,,,,12,2,,,,11,5,2018
,9,5,11/5/2018,,,,,,,3,,,,,11,5,2018
,10,5,11/5/2018,,,,,,,7,,,,,11,5,2018
,1,5,11/12/2018,,,,,,,5,1,,,,11,12,2018
,2,5,11/12/2018,,,,,,,9,,,,,11,12,2018
,3,5,11/12/2018,1,,,,,,6,,,,,11,12,2018
,4,5,11/12/2018,1,,,,,,3,,,,,11,12,2018
,5,5,11/12/2018,7,,,,,,29,,,,,11,12,2018
,6,5,11/12/2018,15,,,,,,16,,,,,11,12,2018
,7,5,11/12/2018,1,,,,,,12,,,,,11,12,2018
,8,5,11/12/2018,,,,,,,9,,,,,11,12,2018
,9,5,11/12/2018,4,,,,,,14,,,,,11,12,2018
,10,5,11/12/2018,6,,,,,,37,1,,,,11,12,2018
,1,4,10/1/2018,,,,,,,8,,,1,,10,1,2018
,2,4,10/1/2018,2,,,,,,9,1,,3,,10,1,2018
,3,4,10/1/2018,,,,,,,17,,,1,,10,1,2018
,4,4,10/1/2018,1,,,,,,7,1,,,,10,1,2018
,5,4,10/1/2018,1,,,,,,4,,,2,,10,1,2018
,6,4,10/1/2018,1,,,,,,9,3,,3,,10,1,2018
,7,4,10/1/2018,,,,,,,17,3,,1,,10,1,2018
,8,4,10/1/2018,,,,,,1,8,1,,,,10,1,2018
,9,4,10/1/2018,,1,,,,,17,,,1,,10,1,2018
,10,4,10/1/2018,,,,,,,17,,,6,,10,1,2018
,1,4,10/8/2018,,,,,,,7,2,,2,,10,8,2018
,2,4,10/8/2018,1,,,,,,3,3,,2,,10,8,2018
,3,4,10/8/2018,1,,,,,,12,1,,4,,10,8,2018
,4,4,10/8/2018,,,,,,,9,,,1,,10,8,2018
,5,4,10/8/2018,1,,,,,,16,1,,3,,10,8,2018
,6,4,10/8/2018,,,,,,,10,,,3,,10,8,2018
,7,4,10/8/2018,1,,,,,,19,,,,,10,8,2018
,8,4,10/8/2018,,,,,,,13,1,,2,,10,8,2018
,9,4,10/8/2018,,,,,,,7,3,,1,,10,8,2018
,10,4,10/8/2018,,,,,,,5,,,,,10,8,2018
,1,4,10/15/2018,14,,,,,,48,5,,2,,10,15,2018
,2,4,10/15/2018,1,,,,,,5,1,,2,,10,15,2018
,3,4,10/15/2018,1,,,,,,38,1,,1,,10,15,2018
,4,4,10/15/2018,2,,,,,,10,,,1,,10,15,2018
,5,4,10/15/2018,2,,,,,,11,,,1,,10,15,2018
,6,4,10/15/2018,,,,,,,4,3,,3,,10,15,2018
,7,4,10/15/2018,,,,,,,3,1,,1,,10,15,2018
,8,4,10/15/2018,,,,,,,12,2,,1,,10,15,2018
,9,4,10/15/2018,,,1,,,,16,5,,1,,10,15,2018
,10,4,10/15/2018,,,,,,,12,1,,7,,10,15,2018
,1,4,10/22/2018,,,,,,,6,,,,,10,22,2018
,2,4,10/22/2018,,,,,,,3,,,,,10,22,2018
,3,4,10/22/2018,,,,,,,9,2,,,,10,22,2018
,4,4,10/22/2018,1,,,,,,17,1,,,,10,22,2018
,5,4,10/22/2018,1,1,,,,1,7,,,,,10,22,2018
,6,4,10/22/2018,,,,,,,20,1,,1,,10,22,2018
,7,4,10/22/2018,,,,,,,8,,,,,10,22,2018
,8,4,10/22/2018,,,,,,,3,3,,1,,10,22,2018
,9,4,10/22/2018,6,,,,,,101,2,,1,,10,22,2018
,10,4,10/22/2018,,,,,,,7,,,1,,10,22,2018
,1,4,10/29/2018,,,,,,,2,,,,,10,29,2018
,2,4,10/29/2018,,,,,,,4,,,,,10,29,2018
,3,4,10/29/2018,1,,,,,,7,,,,,10,29,2018
,4,4,10/29/2018,1,,,,,,1,,,,,10,29,2018
,5,4,10/29/2018,,,,,,,2,,,,,10,29,2018
,6,4,10/29/2018,,,,,,,17,4,,,,10,29,2018
,7,4,10/29/2018,1,,,,,,8,,,,,10,29,2018
,8,4,10/29/2018,1,,,,,,2,,,,,10,29,2018
,9,4,10/29/2018,,,,,,,4,,,,,10,29,2018
,10,4,10/29/2018,1,,,,,,2,,,,,10,29,2018
,1,5,6/18/2018,,3,,,1,3,18,6,,8,,6,18,2018
,2,5,6/18/2018,2,,,,1,2,22,4,,9,,6,18,2018
,3,5,6/18/2018,1,1,,,1,6,42,5,,8,,6,18,2018
,4,5,6/18/2018,1,,1,,1,,23,2,,13,,6,18,2018
,5,5,6/18/2018,2,5,,,2,3,14,10,,8,,6,18,2018
,6,5,6/18/2018,1,2,1,,3,6,23,2,,17,,6,18,2018
,7,5,6/18/2018,2,,,,2,,20,2,,12,,6,18,2018
,8,5,6/18/2018,,,,,,1,21,2,,2,,6,18,2018
,9,5,6/18/2018,2,1,,,1,2,41,10,,15,,6,18,2018
,10,5,6/18/2018,2,,,,2,4,21,7,,10,,6,18,2018
,1,5,6/25/2018,1,2,4,,,3,21,12,,8,,6,25,2018
,2,5,6/25/2018,1,3,5,,3,1,32,4,,9,,6,25,2018
,3,5,6/25/2018,4,1,,,,3,30,7,,7,,6,25,2018
,4,5,6/25/2018,2,,,,,,34,4,,8,,6,25,2018
,5,5,6/25/2018,2,1,,,2,1,42,14,,6,,6,25,2018
,6,5,6/25/2018,,1,,,1,,40,10,,8,,6,25,2018
,7,5,6/25/2018,3,2,,,1,2,42,2,,6,,6,25,2018
,8,5,6/25/2018,3,2,1,,2,,36,2,,8,,6,25,2018
,9,5,6/25/2018,,4,,,,1,15,9,,8,,6,25,2018
,10,5,6/25/2018,1,2,,,,6,14,2,,5,,6,25,2018
,1,5,9/4/2018,,,1,,,1,12,2,,5,,9,4,2018
,2,5,9/4/2018,1,,,,,,8,2,,6,,9,4,2018
,3,5,9/4/2018,,,,,,,17,,,3,,9,4,2018
,4,5,9/4/2018,,,,,,,7,,,1,,9,4,2018
,5,5,9/4/2018,,,,,,2,13,,,3,,9,4,2018
,6,5,9/4/2018,,,,,,,9,1,,7,,9,4,2018
,7,5,9/4/2018,,,,,,2,9,,,10,,9,4,2018
,8,5,9/4/2018,,,,,,,3,,,1,,9,4,2018
,9,5,9/4/2018,,1,,,,,16,3,,7,,9,4,2018
,10,5,9/4/2018,,,,,1,,5,2,,5,,9,4,2018
,1,5,9/10/2018,,,,,,,14,,,4,,9,10,2018
,2,5,9/10/2018,,,,,,,4,3,,4,,9,10,2018
,3,5,9/10/2018,1,,,,,,3,,,,,9,10,2018
,4,5,9/10/2018,,,,,,,7,3,,4,,9,10,2018
,5,5,9/10/2018,,,,,,,7,2,,3,,9,10,2018
,6,5,9/10/2018,,,,,,,5,2,,4,,9,10,2018
,7,5,9/10/2018,,,,,1,,6,7,,2,,9,10,2018
,8,5,9/10/2018,,,,,1,1,5,,,3,,9,10,2018
,9,5,9/10/2018,,,,,,,2,2,,4,,9,10,2018
,10,5,9/10/2018,,,,,,,4,,,4,,9,10,2018
,1,5,9/17/2018,,,,,,,12,,,1,,9,17,2018
,2,5,9/17/2018,,,,,,,6,,,5,,9,17,2018
,3,5,9/17/2018,,,,,,,1,2,,2,,9,17,2018
,4,5,9/17/2018,,,,,,,10,1,,,,9,17,2018
,5,5,9/17/2018,1,,,,,,6,3,,,,9,17,2018
,6,5,9/17/2018,,,,,,,10,1,,2,,9,17,2018
,7,5,9/17/2018,,,,,,,5,,,,,9,17,2018
,8,5,9/17/2018,,,,,,,3,1,,3,,9,17,2018
,9,5,9/17/2018,,,,,,,7,,,,,9,17,2018
,10,5,9/17/2018,,,,,,,3,,,1,,9,17,2018
,1,5,9/24/2018,,,,,,1,6,4,,1,,9,24,2018
,2,5,9/24/2018,,,,,,,7,,,,,9,24,2018
,3,5,9/24/2018,,,,,,,9,2,,,,9,24,2018
,4,5,9/24/2018,,,,,,,6,1,,,,9,24,2018
,5,5,9/24/2018,,,,,,,7,3,,3,,9,24,2018
,6,5,9/24/2018,2,1,,,,,10,1,,3,,9,24,2018
,7,5,9/24/2018,,,,,,,7,2,,,,9,24,2018
,8,5,9/24/2018,,,,,,,11,,,,,9,24,2018
,9,5,9/24/2018,2,,,,,,9,1,,2,,9,24,2018
,10,5,9/24/2018,,,,,,,9,2,,1,,9,24,2018
,1,5,10/1/2018,,,,,,1,6,,,,,10,1,2018
,2,5,10/1/2018,,,,,,,7,,,2,,10,1,2018
,3,5,10/1/2018,1,,,,,,15,2,,3,,10,1,2018
,4,5,10/1/2018,1,,,,,,7,,,2,,10,1,2018
,5,5,10/1/2018,,,,,,,13,3,,1,,10,1,2018
,6,5,10/1/2018,,,,,,1,9,,,2,,10,1,2018
,7,5,10/1/2018,2,,,,,,10,,,1,,10,1,2018
,8,5,10/1/2018,3,,,,,1,14,,,1,,10,1,2018
,9,5,10/1/2018,,,,,,,8,,,2,,10,1,2018
,10,5,10/1/2018,1,,,,,,10,,,1,,10,1,2018
,1,5,10/8/2018,,,,,,,8,2,,7,,10,8,2018
,2,5,10/8/2018,,,,,,,14,,,4,,10,8,2018
,3,5,10/8/2018,2,,,,,,10,,,1,,10,8,2018
,4,5,10/8/2018,,,,,,,10,,,,,10,8,2018
,5,5,10/8/2018,2,,,,,,7,,,2,,10,8,2018
,6,5,10/8/2018,,,,,,,7,,,,,10,8,2018
,7,5,10/8/2018,,,,,,,12,3,,2,,10,8,2018
,8,5,10/8/2018,1,1,,,,,5,,,1,,10,8,2018
