sample_id,side_or_trapnum,watershed,date,dipteran_large,terrestrial_large,caddisfly_large,mayfly_large,stonefly_large,other_large,dipteran_small,terrestrial_small,caddisfly_small,other_small,dup
ST191164,A,1,2019-10-21,13,2,1,NA,NA,NA,11,3,NA,NA,0
ST191164,B,1,2019-10-21,4,NA,NA,NA,NA,NA,8,2,NA,2,0
ST191165,A,1,2019-10-21,6,NA,NA,NA,NA,NA,5,6,NA,NA,0
ST191165,B,1,2019-10-21,16,1,NA,NA,NA,NA,15,3,NA,NA,0
ST191201,A,1,2019-10-28,3,1,NA,NA,NA,1,28,5,NA,1,0
ST191201,B,1,2019-10-28,5,NA,NA,NA,NA,NA,10,4,NA,NA,0
ST191202,A,1,2019-10-28,12,NA,NA,NA,NA,NA,30,1,NA,NA,0
ST191202,B,1,2019-10-28,3,6,NA,NA,NA,NA,24,6,NA,NA,0
ST191203,A,1,2019-10-28,14,1,NA,NA,1,NA,37,12,NA,1,0
ST191203,B,1,2019-10-28,11,1,NA,NA,NA,NA,46,10,NA,3,0
ST191204,A,1,2019-10-28,8,NA,NA,NA,1,1,31,9,NA,2,0
ST191204,B,1,2019-10-28,5,NA,NA,NA,NA,1,27,2,NA,NA,0
ST191205,A,1,2019-10-28,3,1,NA,NA,NA,1,14,2,NA,NA,0
ST191205,B,1,2019-10-28,14,NA,NA,NA,NA,NA,30,9,NA,1,0
ST191241,A,1,2019-11-04,4,1,NA,NA,NA,NA,40,6,NA,NA,0
ST191241,B,1,2019-11-04,1,2,NA,NA,NA,NA,12,3,NA,NA,0
ST191242,A,1,2019-11-04,NA,NA,NA,NA,NA,NA,16,NA,NA,2,0
ST191242,B,1,2019-11-04,2,1,NA,NA,NA,1,23,NA,NA,NA,0
ST191243,A,1,2019-11-04,3,NA,NA,NA,NA,NA,21,3,NA,NA,0
ST191243,B,1,2019-11-04,4,NA,NA,NA,NA,NA,12,4,NA,NA,0
ST191244,A,1,2019-11-04,5,NA,NA,NA,NA,NA,29,4,NA,1,0
ST191244,B,1,2019-11-04,1,NA,NA,NA,NA,NA,13,2,NA,1,0
ST191245,A,1,2019-11-04,2,NA,NA,NA,NA,NA,5,2,NA,NA,0
ST191245,B,1,2019-11-04,NA,NA,NA,NA,NA,1,11,NA,NA,1,0
ST191281,A,1,2019-11-11,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,0
ST191281,B,1,2019-11-11,NA,NA,NA,NA,NA,NA,3,NA,NA,1,0
ST191282,A,1,2019-11-11,NA,NA,NA,NA,NA,NA,7,1,NA,NA,0
ST191282,B,1,2019-11-11,1,NA,NA,NA,NA,NA,5,NA,NA,NA,0
ST191283,A,1,2019-11-11,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,0
ST191283,B,1,2019-11-11,NA,NA,NA,NA,NA,1,6,NA,NA,NA,0
ST191284,A,1,2019-11-11,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,0
ST191284,B,1,2019-11-11,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0
ST191285,A,1,2019-11-11,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,0
ST191285,B,1,2019-11-11,1,NA,NA,NA,NA,NA,7,NA,NA,NA,0
ST191321,A,1,2019-11-18,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,0
ST191321,B,1,2019-11-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
ST191361,A,1,2019-11-25,1,NA,NA,NA,NA,NA,2,NA,NA,NA,0
ST191361,B,1,2019-11-25,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,0
ST191401,A,1,2019-11-25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
ST191401,B,1,2019-11-25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
ST200808,B,2,200-08-03,3,NA,NA,NA,NA,4,44,7,NA,1,0
NA,1,2,2018-05-14,NA,NA,NA,NA,NA,3,64,NA,NA,10,0
NA,10,2,2018-05-14,1,NA,NA,NA,NA,2,15,NA,NA,3,0
NA,2,2,2018-05-14,NA,NA,NA,NA,NA,4,23,NA,NA,NA,0
NA,3,2,2018-05-14,NA,NA,NA,NA,NA,NA,39,NA,NA,NA,0
NA,4,2,2018-05-14,1,NA,NA,NA,NA,2,48,NA,NA,5,0
NA,5,2,2018-05-14,NA,NA,NA,NA,NA,NA,79,NA,NA,11,0
NA,6,2,2018-05-14,NA,NA,NA,NA,NA,NA,42,NA,NA,10,0
NA,7,2,2018-05-14,NA,NA,NA,NA,NA,NA,43,NA,NA,NA,0
NA,8,2,2018-05-14,NA,NA,NA,NA,NA,2,36,NA,NA,6,0
NA,9,2,2018-05-14,1,NA,NA,NA,NA,1,16,NA,NA,2,0
NA,1,2,2018-05-21,1,NA,NA,NA,NA,2,79,NA,NA,1,0
NA,10,2,2018-05-21,13,NA,NA,NA,NA,NA,45,NA,NA,7,0
NA,2,2,2018-05-21,NA,NA,NA,NA,NA,2,124,NA,NA,8,0
NA,3,2,2018-05-21,NA,NA,NA,NA,NA,1,69,NA,NA,6,0
NA,4,2,2018-05-21,2,NA,NA,NA,NA,2,29,NA,NA,4,0
NA,5,2,2018-05-21,NA,NA,NA,NA,2,NA,42,NA,NA,3,0
NA,6,2,2018-05-21,NA,1,NA,NA,NA,1,54,1,NA,5,0
NA,7,2,2018-05-21,2,NA,NA,NA,NA,3,86,NA,NA,4,0
NA,8,2,2018-05-21,NA,NA,NA,NA,NA,1,32,NA,NA,1,0
NA,9,2,2018-05-21,NA,1,NA,NA,NA,2,74,NA,NA,1,0
NA,1,2,2018-05-29,NA,3,NA,NA,1,NA,112,NA,NA,1,0
NA,10,2,2018-05-29,NA,NA,NA,NA,1,2,NA,4,NA,4,0
NA,2,2,2018-05-29,NA,1,1,NA,2,4,143,NA,NA,NA,0
NA,3,2,2018-05-29,NA,NA,NA,NA,1,4,107,1,NA,NA,0
NA,4,2,2018-05-29,1,NA,NA,NA,2,1,83,NA,NA,3,0
NA,5,2,2018-05-29,NA,4,NA,NA,1,2,36,NA,NA,6,0
NA,6,2,2018-05-29,1,NA,NA,NA,1,1,49,NA,NA,NA,0
NA,7,2,2018-05-29,NA,2,NA,NA,NA,3,83,1,NA,4,0
NA,8,2,2018-05-29,NA,NA,NA,NA,NA,7,112,NA,NA,6,0
NA,9,2,2018-05-29,NA,NA,NA,NA,NA,7,101,NA,NA,NA,0
NA,1,2,2018-06-04,2,1,NA,NA,3,3,26,NA,NA,1,0
NA,10,2,2018-06-04,NA,NA,NA,NA,1,2,25,NA,NA,2,0
NA,2,2,2018-06-04,1,1,NA,NA,5,1,67,NA,NA,12,0
NA,3,2,2018-06-04,1,1,1,NA,2,4,94,NA,NA,4,0
NA,4,2,2018-06-04,1,3,NA,NA,1,4,86,NA,NA,2,0
NA,5,2,2018-06-04,NA,NA,NA,NA,NA,NA,30,1,NA,2,0
NA,6,2,2018-06-04,NA,NA,NA,NA,1,4,38,NA,NA,4,0
NA,7,2,2018-06-04,NA,NA,NA,NA,3,1,42,1,NA,2,0
NA,8,2,2018-06-04,NA,1,NA,NA,3,3,36,NA,NA,3,0
NA,9,2,2018-06-04,NA,NA,NA,NA,2,1,30,NA,NA,4,0
NA,1,2,2018-06-11,2,1,NA,NA,NA,1,41,NA,NA,9,0
NA,10,2,2018-06-11,2,NA,NA,NA,1,NA,48,NA,NA,9,0
NA,2,2,2018-06-11,3,2,NA,NA,NA,2,43,1,NA,14,0
NA,3,2,2018-06-11,NA,1,NA,NA,NA,1,35,NA,NA,12,0
NA,4,2,2018-06-11,1,1,NA,NA,NA,1,33,1,NA,9,0
NA,5,2,2018-06-11,2,NA,NA,NA,NA,3,15,NA,NA,9,0
NA,6,2,2018-06-11,2,1,NA,NA,1,2,35,NA,NA,NA,0
NA,7,2,2018-06-11,NA,NA,NA,NA,NA,3,43,NA,NA,5,0
NA,8,2,2018-06-11,4,NA,1,NA,NA,3,35,NA,NA,2,0
NA,9,2,2018-06-11,1,NA,NA,NA,NA,1,23,NA,NA,4,0
NA,1,2,2018-06-18,NA,NA,NA,NA,NA,6,25,NA,NA,10,0
NA,10,2,2018-06-18,2,NA,1,NA,NA,11,34,NA,NA,24,0
NA,2,2,2018-06-18,4,NA,NA,NA,NA,5,36,NA,NA,11,0
NA,3,2,2018-06-18,NA,2,3,NA,NA,3,48,NA,NA,15,0
NA,4,2,2018-06-18,3,NA,NA,NA,NA,3,79,NA,NA,20,0
NA,5,2,2018-06-18,3,1,NA,NA,NA,3,23,1,NA,20,0
NA,6,2,2018-06-18,1,NA,1,NA,NA,NA,30,NA,NA,8,0
NA,7,2,2018-06-18,3,NA,1,NA,2,4,41,2,NA,15,0
NA,8,2,2018-06-18,3,NA,NA,NA,NA,5,50,5,NA,25,0
NA,9,2,2018-06-18,2,NA,NA,NA,NA,5,28,NA,NA,9,0
NA,1,2,2018-06-25,1,NA,NA,NA,NA,NA,36,NA,NA,18,0
NA,10,2,2018-06-25,2,NA,NA,NA,NA,1,51,NA,NA,6,0
NA,2,2,2018-06-25,3,1,NA,NA,NA,NA,50,NA,NA,14,0
NA,3,2,2018-06-25,2,1,NA,NA,1,2,37,NA,NA,5,0
NA,4,2,2018-06-25,NA,NA,NA,NA,1,3,57,1,NA,7,0
NA,5,2,2018-06-25,2,2,NA,NA,NA,2,50,NA,NA,6,0
NA,6,2,2018-06-25,1,NA,NA,NA,1,NA,37,NA,NA,2,0
NA,7,2,2018-06-25,1,NA,NA,NA,1,2,26,NA,NA,13,0
NA,8,2,2018-06-25,1,NA,NA,NA,NA,3,73,NA,NA,27,0
NA,9,2,2018-06-25,3,NA,NA,NA,NA,1,59,NA,NA,6,0
NA,1,2,2018-07-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,10,2,2018-07-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,2,2,2018-07-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,3,2,2018-07-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,4,2,2018-07-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,5,2,2018-07-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,6,2,2018-07-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,9,2,2018-07-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,1,2,2018-07-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,10,2,2018-07-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,2,2,2018-07-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,3,2,2018-07-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,4,2,2018-07-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,5,2,2018-07-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,6,2,2018-07-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,7,2,2018-07-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,8,2,2018-07-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,9,2,2018-07-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,10,2,2018-08-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,10,2,2018-08-06,1,NA,NA,NA,NA,1,20,NA,NA,4,1
NA,7,2,2018-08-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,7,2,2018-08-06,3,1,NA,NA,2,2,11,1,NA,5,1
NA,8,2,2018-08-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,8,2,2018-08-06,1,NA,NA,NA,3,9,24,NA,NA,9,1
NA,9,2,2018-08-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,9,2,2018-08-06,4,NA,NA,NA,NA,3,27,NA,NA,15,1
NA,1,2,2018-09-04,2,1,NA,NA,NA,3,2,3,NA,5,0
NA,10,2,2018-09-04,1,2,NA,NA,NA,1,9,3,NA,NA,0
NA,2,2,2018-09-04,2,3,NA,NA,NA,3,6,1,NA,3,0
NA,3,2,2018-09-04,5,3,NA,NA,NA,NA,16,1,NA,10,0
NA,4,2,2018-09-04,2,2,NA,NA,1,1,10,2,NA,4,0
NA,5,2,2018-09-04,NA,NA,NA,NA,NA,1,4,3,NA,NA,0
NA,6,2,2018-09-04,2,1,NA,NA,NA,1,8,6,NA,4,0
NA,7,2,2018-09-04,NA,NA,NA,NA,NA,NA,2,5,NA,NA,0
NA,8,2,2018-09-04,2,NA,NA,NA,NA,1,3,NA,NA,NA,0
NA,9,2,2018-09-04,2,NA,NA,NA,NA,NA,6,4,NA,6,0
NA,1,2,2018-09-10,NA,1,NA,NA,NA,NA,4,NA,NA,9,0
NA,10,2,2018-09-10,NA,1,NA,NA,NA,NA,4,2,NA,7,0
NA,2,2,2018-09-10,NA,NA,NA,NA,NA,NA,3,1,NA,NA,0
NA,3,2,2018-09-10,NA,NA,NA,NA,NA,NA,9,NA,NA,5,0
NA,4,2,2018-09-10,1,NA,NA,NA,NA,NA,2,NA,NA,NA,0
NA,5,2,2018-09-10,NA,1,NA,NA,1,NA,NA,NA,NA,NA,0
NA,6,2,2018-09-10,1,1,NA,NA,NA,NA,7,NA,NA,3,0
NA,7,2,2018-09-10,1,NA,NA,NA,NA,NA,14,1,NA,NA,0
NA,8,2,2018-09-10,1,NA,NA,NA,1,2,6,2,NA,NA,0
NA,9,2,2018-09-10,1,NA,NA,NA,NA,NA,6,1,NA,6,0
NA,1,2,2018-09-17,NA,2,NA,NA,NA,1,NA,1,NA,3,0
NA,10,2,2018-09-17,5,NA,NA,NA,NA,NA,7,5,NA,1,0
NA,2,2,2018-09-17,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,3,2,2018-09-17,1,NA,NA,NA,NA,NA,4,1,NA,NA,0
NA,4,2,2018-09-17,2,NA,NA,NA,NA,NA,NA,2,NA,NA,0
NA,5,2,2018-09-17,3,NA,NA,NA,NA,NA,4,6,NA,NA,0
NA,6,2,2018-09-17,4,NA,NA,NA,NA,1,10,1,NA,4,0
NA,7,2,2018-09-17,1,NA,NA,NA,NA,NA,2,1,NA,4,0
NA,8,2,2018-09-17,2,NA,NA,NA,NA,NA,6,2,NA,3,0
NA,9,2,2018-09-17,1,NA,NA,NA,NA,1,18,3,NA,1,0
NA,1,2,2018-09-24,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,0
NA,10,2,2018-09-24,5,NA,NA,NA,NA,1,8,4,NA,NA,0
NA,2,2,2018-09-24,5,1,NA,NA,NA,NA,4,5,NA,6,0
NA,3,2,2018-09-24,4,NA,NA,NA,NA,NA,15,7,NA,13,0
NA,4,2,2018-09-24,1,1,NA,NA,NA,NA,15,1,NA,4,0
NA,5,2,2018-09-24,NA,NA,NA,NA,NA,1,12,1,NA,4,0
NA,6,2,2018-09-24,NA,NA,NA,NA,NA,NA,5,2,NA,2,0
NA,7,2,2018-09-24,3,NA,NA,NA,NA,NA,5,2,NA,3,0
NA,8,2,2018-09-24,1,NA,NA,NA,NA,1,3,1,NA,3,0
NA,9,2,2018-09-24,1,NA,NA,NA,NA,NA,14,2,NA,3,0
NA,1,2,2018-10-01,6,2,NA,NA,NA,NA,4,NA,NA,1,0
NA,10,2,2018-10-01,4,NA,NA,NA,NA,NA,7,2,NA,9,0
NA,2,2,2018-10-01,4,NA,NA,NA,NA,NA,11,3,NA,5,0
NA,3,2,2018-10-01,4,NA,NA,NA,NA,NA,10,2,NA,5,0
NA,4,2,2018-10-01,3,1,NA,NA,NA,NA,9,2,NA,4,0
NA,5,2,2018-10-01,NA,NA,NA,NA,NA,NA,3,4,NA,5,0
NA,6,2,2018-10-01,1,1,NA,NA,NA,NA,4,2,NA,4,0
NA,7,2,2018-10-01,3,NA,NA,NA,NA,NA,9,2,NA,1,0
NA,8,2,2018-10-01,NA,NA,NA,NA,NA,NA,5,2,NA,7,0
NA,9,2,2018-10-01,6,1,NA,NA,NA,1,9,NA,NA,4,0
NA,1,2,2018-10-08,2,NA,NA,NA,NA,1,2,NA,NA,3,0
NA,10,2,2018-10-08,3,NA,NA,NA,NA,NA,8,NA,NA,11,0
NA,2,2,2018-10-08,1,NA,NA,NA,NA,NA,4,3,NA,4,0
NA,3,2,2018-10-08,3,NA,NA,NA,NA,NA,4,1,NA,2,0
NA,4,2,2018-10-08,2,NA,NA,NA,NA,NA,3,1,NA,5,0
NA,5,2,2018-10-08,4,NA,NA,NA,NA,2,12,NA,NA,6,0
NA,6,2,2018-10-08,3,1,NA,NA,NA,1,19,NA,NA,11,0
NA,7,2,2018-10-08,3,NA,NA,NA,NA,NA,17,1,NA,6,0
NA,8,2,2018-10-08,5,NA,NA,NA,NA,1,10,NA,NA,3,0
NA,9,2,2018-10-08,NA,NA,NA,NA,NA,NA,11,NA,NA,5,0
NA,1,2,2018-10-15,7,1,NA,NA,NA,1,17,NA,NA,9,0
NA,10,2,2018-10-15,2,NA,NA,NA,NA,NA,10,NA,NA,3,0
NA,2,2,2018-10-15,2,NA,NA,NA,NA,NA,10,1,NA,9,0
NA,3,2,2018-10-15,1,1,NA,NA,NA,NA,11,6,NA,8,0
NA,4,2,2018-10-15,3,NA,NA,NA,NA,NA,16,5,NA,9,0
NA,5,2,2018-10-15,5,NA,NA,NA,NA,NA,13,NA,NA,5,0
NA,6,2,2018-10-15,10,NA,NA,NA,NA,NA,15,NA,NA,4,0
NA,7,2,2018-10-15,6,NA,NA,NA,NA,NA,16,1,NA,5,0
NA,8,2,2018-10-15,6,NA,NA,NA,NA,NA,11,NA,NA,12,0
NA,9,2,2018-10-15,5,NA,NA,NA,NA,NA,11,2,NA,18,0
NA,1,2,2018-10-22,2,NA,NA,NA,NA,NA,5,NA,NA,1,0
NA,10,2,2018-10-22,1,NA,NA,NA,NA,NA,8,NA,NA,NA,0
NA,2,2,2018-10-22,2,NA,NA,NA,NA,1,4,NA,NA,2,0
NA,3,2,2018-10-22,1,NA,NA,NA,NA,NA,19,NA,NA,4,0
NA,4,2,2018-10-22,1,NA,NA,NA,NA,NA,18,NA,NA,3,0
NA,5,2,2018-10-22,4,NA,NA,NA,1,1,7,NA,NA,1,0
NA,6,2,2018-10-22,NA,NA,NA,NA,NA,NA,6,NA,NA,1,0
NA,7,2,2018-10-22,2,1,NA,NA,NA,NA,9,1,NA,NA,0
NA,8,2,2018-10-22,3,NA,NA,NA,NA,1,2,NA,NA,5,0
NA,9,2,2018-10-22,2,NA,NA,NA,NA,NA,4,NA,NA,2,0
NA,1,2,2018-10-29,1,NA,NA,NA,NA,NA,1,1,NA,1,0
NA,10,2,2018-10-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,2,2,2018-10-29,2,NA,NA,NA,NA,NA,1,1,NA,NA,0
NA,3,2,2018-10-29,1,NA,NA,NA,NA,NA,2,NA,NA,NA,0
NA,4,2,2018-10-29,8,NA,NA,NA,NA,NA,4,NA,NA,NA,0
NA,5,2,2018-10-29,2,NA,NA,NA,NA,NA,2,NA,NA,NA,0
NA,6,2,2018-10-29,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0
NA,7,2,2018-10-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,8,2,2018-10-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,9,2,2018-10-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,1,2,2018-11-05,2,NA,NA,NA,NA,NA,12,1,NA,2,0
NA,10,2,2018-11-05,2,NA,NA,NA,NA,NA,6,NA,NA,NA,0
NA,2,2,2018-11-05,2,NA,NA,NA,NA,NA,9,NA,NA,NA,0
NA,3,2,2018-11-05,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,0
NA,4,2,2018-11-05,NA,NA,NA,NA,NA,NA,8,2,NA,NA,0
NA,5,2,2018-11-05,2,NA,NA,NA,1,NA,7,NA,NA,NA,0
NA,6,2,2018-11-05,4,NA,NA,NA,NA,NA,19,NA,NA,NA,0
NA,7,2,2018-11-05,4,NA,NA,NA,NA,NA,10,NA,NA,NA,0
NA,8,2,2018-11-05,4,NA,NA,NA,NA,NA,15,NA,NA,NA,0
NA,9,2,2018-11-05,4,NA,NA,NA,NA,NA,7,NA,NA,1,0
NA,1,2,2018-11-12,19,NA,NA,NA,NA,NA,10,2,NA,NA,0
NA,10,2,2018-11-12,2,NA,NA,NA,NA,NA,5,NA,NA,NA,0
NA,2,2,2018-11-12,23,NA,NA,NA,NA,NA,27,NA,NA,2,0
NA,3,2,2018-11-12,9,NA,NA,NA,NA,NA,8,NA,NA,NA,0
NA,4,2,2018-11-12,3,NA,NA,NA,NA,NA,5,NA,NA,1,0
NA,5,2,2018-11-12,2,1,NA,NA,NA,NA,11,NA,NA,1,0
NA,6,2,2018-11-12,3,1,NA,NA,NA,NA,9,NA,NA,1,0
NA,7,2,2018-11-12,4,NA,NA,NA,NA,NA,8,NA,NA,1,0
NA,8,2,2018-11-12,1,1,NA,NA,NA,NA,4,NA,NA,1,0
NA,9,2,2018-11-12,2,NA,NA,NA,NA,NA,2,NA,NA,1,0
ST190016,A,2,2019-03-25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
ST190016,B,2,2019-03-25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
ST190046,A,2,2019-04-01,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
ST190046,B,2,2019-04-01,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
ST190051,A,2,2019-04-01,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0
ST190051,B,2,2019-04-01,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0
ST190086,A,2,2019-04-15,2,1,NA,NA,NA,NA,NA,NA,NA,NA,0
ST190086,B,2,2019-04-15,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0
ST190091,A,2,2019-04-15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
ST190091,B,2,2019-04-15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
ST190096,A,2,2019-04-15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
ST190096,B,2,2019-04-15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
ST190031,A,2,2019-04-22,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
ST190031,B,2,2019-04-22,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
ST190126,A,2,2019-04-22,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
ST190126,B,2,2019-04-22,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
ST190166,A,2,2019-04-29,2,2,NA,NA,NA,NA,13,1,NA,1,0
ST190166,B,2,2019-04-29,1,2,NA,NA,NA,NA,6,NA,NA,2,0
ST190167,A,2,2019-04-29,NA,3,NA,NA,NA,NA,4,3,NA,3,0
ST190167,B,2,2019-04-29,2,NA,NA,NA,NA,NA,9,2,NA,1,0
ST190168,A,2,2019-04-29,NA,NA,NA,NA,NA,NA,2,1,NA,NA,0
ST190168,B,2,2019-04-29,3,NA,NA,NA,NA,3,10,NA,NA,5,0
ST190169,A,2,2019-04-29,1,4,NA,NA,NA,1,1,NA,NA,NA,0
ST190169,B,2,2019-04-29,2,2,NA,NA,NA,NA,5,NA,NA,1,0
ST190170,A,2,2019-04-29,2,NA,NA,NA,NA,1,NA,NA,NA,2,0
ST190170,B,2,2019-04-29,2,3,NA,NA,NA,NA,2,NA,NA,1,0
ST190171,A,2,2019-04-29,8,1,NA,NA,NA,1,7,NA,NA,2,0
ST190171,B,2,2019-04-29,9,NA,NA,NA,1,1,6,NA,NA,2,0
ST190172,A,2,2019-04-29,2,1,NA,NA,NA,NA,3,NA,NA,2,0
ST190172,B,2,2019-04-29,1,NA,NA,NA,NA,NA,5,NA,NA,2,0
ST190173,A,2,2019-04-29,4,NA,1,NA,NA,NA,4,1,NA,1,0
ST190173,B,2,2019-04-29,2,2,NA,NA,1,NA,4,NA,NA,2,0
ST190174,A,2,2019-04-29,2,NA,NA,NA,NA,NA,4,NA,NA,5,0
ST190174,B,2,2019-04-29,3,NA,NA,NA,NA,NA,4,NA,NA,4,0
ST190175,A,2,2019-04-29,5,NA,NA,NA,1,1,5,NA,NA,2,0
ST190175,B,2,2019-04-29,3,5,NA,NA,NA,NA,11,NA,NA,5,0
ST190176,A,2,2019-04-29,5,1,NA,NA,NA,NA,3,NA,NA,3,0
ST190176,B,2,2019-04-29,1,NA,NA,NA,NA,NA,1,NA,NA,NA,0
ST190177,A,2,2019-04-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
ST190177,B,2,2019-04-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
ST190178,A,2,2019-04-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
ST190178,B,2,2019-04-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
ST190179,A,2,2019-04-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
ST190179,B,2,2019-04-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
ST190180,A,2,2019-04-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
ST190180,B,2,2019-04-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
ST190211,A,2,2019-05-06,2,1,NA,NA,NA,NA,11,NA,NA,2,0
ST190211,B,2,2019-05-06,10,NA,NA,NA,NA,NA,15,NA,NA,2,0
ST190212,A,2,2019-05-06,7,NA,NA,NA,NA,NA,12,1,NA,1,0
ST190212,B,2,2019-05-06,6,1,NA,NA,NA,NA,18,NA,NA,3,0
ST190213,A,2,2019-05-06,7,NA,NA,NA,NA,NA,10,1,NA,1,0
ST190213,B,2,2019-05-06,8,NA,NA,NA,NA,NA,25,NA,NA,1,0
ST190214,A,2,2019-05-06,19,1,NA,NA,1,NA,27,NA,NA,3,0
ST190214,B,2,2019-05-06,4,1,NA,NA,NA,NA,13,NA,NA,NA,0
ST190215,A,2,2019-05-06,4,1,NA,NA,NA,NA,6,1,NA,1,0
ST190215,B,2,2019-05-06,10,1,NA,NA,NA,NA,10,NA,NA,5,0
ST190246,A,2,2019-05-13,2,NA,NA,NA,NA,NA,74,NA,NA,1,0
ST190246,B,2,2019-05-13,3,NA,NA,NA,1,NA,31,NA,NA,2,0
ST190247,A,2,2019-05-13,3,NA,NA,NA,NA,NA,53,NA,NA,4,0
ST190247,B,2,2019-05-13,2,NA,NA,NA,NA,NA,12,NA,NA,2,0
ST190248,A,2,2019-05-13,3,NA,NA,NA,NA,1,40,1,NA,2,0
ST190248,B,2,2019-05-13,1,1,NA,NA,NA,NA,26,NA,NA,2,0
ST190249,A,2,2019-05-13,4,NA,NA,NA,NA,NA,47,NA,NA,NA,0
ST190249,B,2,2019-05-13,3,1,NA,NA,NA,NA,56,NA,NA,1,0
ST190250,A,2,2019-05-13,NA,NA,NA,NA,NA,1,20,NA,NA,2,0
ST190250,B,2,2019-05-13,1,NA,NA,NA,NA,NA,66,NA,NA,3,0
ST190251,A,2,2019-05-13,5,NA,NA,NA,NA,1,83,NA,NA,1,0
ST190251,B,2,2019-05-13,1,NA,NA,NA,NA,NA,52,1,NA,1,0
ST190252,A,2,2019-05-13,6,NA,1,NA,NA,NA,65,NA,NA,4,0
ST190252,B,2,2019-05-13,4,3,NA,NA,NA,NA,67,1,NA,2,0
ST190253,A,2,2019-05-13,5,1,1,NA,NA,NA,41,1,NA,NA,0
ST190253,B,2,2019-05-13,3,1,NA,NA,NA,NA,28,NA,NA,1,0
